4290
1	1 75	1 73	1 77	1 79	0.10614
2	1 73	1 71	1 77	1 79	0.009632100000000001
3	1 71	1 69	1 77	1 79	0.0026638699999999996
4	1 69	1 67	1 77	1 79	0.001290025
5	1 73	1 71	1 75	1 77	0.107094
6	1 71	1 69	1 75	1 77	0.00948626
7	1 69	1 67	1 75	1 77	0.002817845
8	1 67	1 65	1 75	1 77	0.001283105
9	1 80	1 78	1 75	1 77	0.000445436
10	1 71	1 67	1 75	1 79	0.0166899
11	1 67	1 80	1 75	1 79	0.003411115
12	1 71	1 69	1 73	1 75	0.0761463
13	1 69	1 67	1 73	1 75	0.008015765
14	1 67	1 65	1 73	1 75	0.00266193
15	1 65	1 80	1 73	1 75	0.00125753
16	1 69	1 65	1 73	1 77	0.01488465
17	1 65	1 78	1 73	1 77	0.003215305
18	1 78	1 74	1 73	1 77	0.00120122
19	1 74	1 70	1 73	1 77	0.00043325950000000003
20	1 93	1 89	1 73	1 77	0.00022338099999999998
21	1 67	1 78	1 73	1 79	0.008420674999999999
22	1 78	1 72	1 73	1 79	0.00169564
23	1 91	1 85	1 73	1 79	0.0001452205
24	1 85	1 96	1 73	1 79	0.000299081
25	1 96	1 90	1 73	1 79	0.000127691
26	1 69	1 67	1 71	1 73	0.07941255
27	1 67	1 65	1 71	1 73	0.008768535000000001
28	1 65	1 80	1 71	1 73	0.003146765
29	1 80	1 78	1 71	1 73	0.0013693400000000001
30	1 67	1 80	1 71	1 75	0.015354699999999999
31	1 80	1 76	1 71	1 75	0.0031170499999999997
32	1 76	1 72	1 71	1 75	0.0014979799999999999
33	1 91	1 87	1 71	1 75	0.000260571
34	1 65	1 76	1 71	1 77	0.009425315
35	1 70	1 95	1 71	1 77	0.000738293
36	1 95	1 89	1 71	1 77	0.000377513
37	1 80	1 72	1 71	1 79	0.00638671
38	1 72	1 95	1 71	1 79	0.001535895
39	1 87	1 96	1 71	1 79	0.000433271
40	1 67	1 65	1 69	1 71	0.060686199999999996
41	1 65	1 80	1 69	1 71	0.008976475
42	1 80	1 78	1 69	1 71	0.0028202
43	1 65	1 78	1 69	1 73	0.01599525
44	1 78	1 74	1 69	1 73	0.003390255
45	1 74	1 70	1 69	1 73	0.00142412
46	1 89	1 85	1 69	1 73	0.000274475
47	1 80	1 74	1 69	1 75	0.008609805
48	1 74	1 68	1 69	1 75	0.00220085
49	1 68	1 93	1 69	1 75	0.00068004
50	1 78	1 70	1 69	1 77	0.00621026
51	1 70	1 93	1 69	1 77	0.0014408300000000001
52	1 93	1 85	1 69	1 77	0.0006895465
53	1 94	1 84	1 69	1 79	0.0006747495
54	1 118	1 128	1 69	1 79	0.0001941725
55	1 65	1 80	1 67	1 69	0.0822224
56	1 80	1 78	1 67	1 69	0.008406815
57	1 78	1 76	1 67	1 69	0.00310733
58	1 76	1 74	1 67	1 69	0.00121115
59	1 72	1 70	1 67	1 69	0.0007996715
60	1 80	1 76	1 67	1 71	0.01599425
61	1 76	1 72	1 67	1 71	0.0035828350000000004
62	1 72	1 68	1 67	1 71	0.0014031500000000001
63	1 78	1 72	1 67	1 73	0.009374345
64	1 76	1 68	1 67	1 75	0.0058695250000000004
65	1 229	1 114	1 67	1 75	0.000352844
66	1 74	1 95	1 67	1 77	0.004527635
67	1 85	1 92	1 67	1 77	0.00038681049999999997
68	1 92	1 82	1 67	1 77	0.0010465925
69	1 120	1 113	1 67	1 77	0.00033811500000000005
70	1 72	1 91	1 67	1 79	0.00358362
71	1 91	1 96	1 67	1 79	0.00121678
72	1 84	1 231	1 67	1 79	6.828085e-05
73	1 80	1 78	1 65	1 67	0.07026355000000001
74	1 78	1 76	1 65	1 67	0.008192405
75	1 76	1 74	1 65	1 67	0.002460375
76	1 74	1 72	1 65	1 67	0.001452305
77	1 78	1 74	1 65	1 69	0.01550445
78	1 74	1 70	1 65	1 69	0.0031642099999999998
79	1 85	1 81	1 65	1 69	7.63424e-05
80	1 76	1 70	1 65	1 71	0.008011560000000001
81	1 70	1 95	1 65	1 71	0.002019755
82	1 95	1 89	1 65	1 71	0.0007324804999999999
83	1 89	1 81	1 65	1 73	0.0004490915
84	1 81	1 90	1 65	1 73	0.000318481
85	1 82	1 232	1 65	1 73	7.7068e-05
86	1 72	1 93	1 65	1 75	0.004440605
87	1 93	1 83	1 65	1 75	0.0008770925
88	1 83	1 90	1 65	1 75	0.0006867189999999999
89	1 90	1 227	1 65	1 75	0.00034106800000000004
90	1 122	1 115	1 65	1 75	0.000174071
91	1 70	1 89	1 65	1 77	0.00383355
92	1 68	1 85	1 65	1 79	0.0032781800000000003
93	1 122	1 119	1 65	1 79	0.0001729255
94	1 78	1 76	1 80	1 65	0.10091995000000001
95	1 76	1 74	1 80	1 65	0.008568415
96	1 74	1 72	1 80	1 65	0.002769235
97	1 72	1 70	1 80	1 65	0.0013804949999999998
98	1 70	1 68	1 80	1 65	0.0007328235
99	1 76	1 72	1 80	1 67	0.01487765
100	1 72	1 68	1 80	1 67	0.003159915
101	1 95	1 91	1 80	1 67	0.0007902515
102	1 74	1 68	1 80	1 69	0.00886708
103	1 68	1 93	1 80	1 69	0.002067065
104	1 87	1 81	1 80	1 69	0.0002804405
105	1 81	1 92	1 80	1 69	0.0004563475
106	1 72	1 95	1 80	1 71	0.006214395
107	1 95	1 87	1 80	1 71	0.00141048
108	1 70	1 91	1 80	1 73	0.00462547
109	1 91	1 81	1 80	1 73	0.001086045
110	1 68	1 87	1 80	1 75	0.003949895
111	1 227	1 114	1 80	1 75	0.000293794
112	1 121	1 102	1 80	1 75	0.00017244
113	1 86	1 231	1 80	1 77	0.0004037245
114	1 124	1 121	1 80	1 77	0.000226421
115	1 121	1 104	1 80	1 77	0.0002471775
116	1 95	1 96	1 80	1 79	0.002962395
117	1 76	1 74	1 78	1 80	0.08152655
118	1 74	1 72	1 78	1 80	0.007952845
119	1 72	1 70	1 78	1 80	0.00290882
120	1 70	1 68	1 78	1 80	0.00123361
121	1 95	1 93	1 78	1 80	0.000359852
122	1 74	1 70	1 78	1 65	0.01498045
123	1 93	1 89	1 78	1 65	0.000629259
124	1 89	1 85	1 78	1 65	0.00043188899999999997
125	1 70	1 93	1 78	1 69	0.0063087049999999995
126	1 93	1 85	1 78	1 69	0.001439675
127	1 228	1 230	1 78	1 69	3.48658e-05
128	1 68	1 89	1 78	1 71	0.004862105
129	1 89	1 96	1 78	1 71	0.000999744
130	1 85	1 90	1 78	1 73	0.0008938955
131	1 90	1 228	1 78	1 73	0.000554087
132	1 95	1 81	1 78	1 75	0.003066305
133	1 94	1 228	1 78	1 77	0.0018137000000000001
134	1 91	1 90	1 78	1 79	0.00267659
135	1 90	1 231	1 78	1 79	0.000962919
136	1 74	1 72	1 76	1 78	0.07735805
137	1 72	1 70	1 76	1 78	0.01024151
138	1 70	1 68	1 76	1 78	0.0034994049999999997
139	1 72	1 68	1 76	1 80	0.01650915
140	1 68	1 95	1 76	1 80	0.00444682
141	1 95	1 91	1 76	1 80	0.00151742
142	1 70	1 95	1 76	1 65	0.009804110000000001
143	1 95	1 89	1 76	1 65	0.002369225
144	1 68	1 91	1 76	1 67	0.00720478
145	1 229	1 114	1 76	1 67	0.000855625
146	1 82	1 114	1 76	1 73	0.0008601934999999999
147	1 229	1 122	1 76	1 75	0.000976836
148	1 100	1 101	1 76	1 77	0.000642433
149	1 84	1 118	1 76	1 79	0.000878672
150	1 118	1 121	1 76	1 79	0.00055334
151	1 72	1 70	1 74	1 76	0.052093600000000004
152	1 70	1 68	1 74	1 76	0.006790965
153	1 93	1 91	1 74	1 76	0.00031814349999999996
154	1 93	1 89	1 74	1 78	0.00125767
155	1 89	1 85	1 74	1 78	0.000551223
156	1 85	1 81	1 74	1 78	0.0002939275
157	1 68	1 93	1 74	1 80	0.008752675000000001
158	1 93	1 87	1 74	1 80	0.0020679699999999997
159	1 87	1 81	1 74	1 80	0.0008882639999999999
160	1 89	1 81	1 74	1 65	0.001563145
161	1 81	1 90	1 74	1 65	0.000633944
162	1 95	1 85	1 74	1 67	0.00553382
163	1 85	1 92	1 74	1 67	0.00134284
164	1 93	1 81	1 74	1 69	0.00382345
165	1 81	1 86	1 74	1 69	0.0009350014999999999
166	1 232	1 120	1 74	1 69	0.00027924549999999997
167	1 91	1 94	1 74	1 71	0.003399875
168	1 227	1 116	1 74	1 71	0.000443834
169	1 127	1 110	1 74	1 71	0.000128748
170	1 89	1 90	1 74	1 73	0.0028955450000000002
171	1 232	1 124	1 74	1 73	0.00045872200000000006
172	1 86	1 114	1 74	1 75	0.0011367600000000001
173	1 102	1 103	1 74	1 75	0.0001265865
174	1 85	1 82	1 74	1 77	0.00292448
175	1 120	1 123	1 74	1 77	0.0004840065
176	1 123	1 112	1 74	1 77	0.0002018575
177	1 83	1 228	1 74	1 79	0.002321305
178	1 126	1 100	1 74	1 79	0.0003673995
179	1 70	1 68	1 72	1 74	0.042498949999999994
180	1 95	1 93	1 72	1 74	0.00127561
181	1 68	1 95	1 72	1 76	0.01352805
182	1 95	1 91	1 72	1 76	0.0031723949999999997
183	1 91	1 85	1 72	1 78	0.002047305
184	1 85	1 96	1 72	1 78	0.0010166235
185	1 95	1 87	1 72	1 80	0.0061825100000000004
186	1 87	1 96	1 72	1 80	0.001581955
187	1 88	1 227	1 72	1 80	0.000179778
188	1 93	1 83	1 72	1 65	0.00509497
