5630
1	1 75	1 73	1 77	1 79	0.1000855
2	1 73	1 71	1 77	1 79	0.0111157
3	1 71	1 69	1 77	1 79	0.00287881
4	1 69	1 67	1 77	1 79	0.00131289
5	1 67	1 65	1 77	1 79	0.0007323455
6	1 65	1 80	1 77	1 79	0.0003795975
7	1 73	1 71	1 75	1 77	0.0935796
8	1 71	1 69	1 75	1 77	0.0110437
9	1 69	1 67	1 75	1 77	0.00320857
10	1 67	1 65	1 75	1 77	0.001444975
11	1 65	1 80	1 75	1 77	0.000800156
12	1 80	1 78	1 75	1 77	0.000510164
13	1 78	1 76	1 75	1 77	0.0002851
14	1 71	1 67	1 75	1 79	0.0185739
15	1 67	1 80	1 75	1 79	0.0033822649999999998
16	1 80	1 76	1 75	1 79	0.001213325
17	1 76	1 72	1 75	1 79	0.0005173895
18	1 72	1 68	1 75	1 79	0.0003361495
19	1 68	1 95	1 75	1 79	0.00011731
20	1 71	1 69	1 73	1 75	0.0828414
21	1 69	1 67	1 73	1 75	0.0105248
22	1 67	1 65	1 73	1 75	0.003017395
23	1 65	1 80	1 73	1 75	0.001318975
24	1 78	1 76	1 73	1 75	0.000431623
25	1 69	1 65	1 73	1 77	0.018289299999999998
26	1 65	1 78	1 73	1 77	0.003416825
27	1 78	1 74	1 73	1 77	0.0011965
28	1 74	1 70	1 73	1 77	0.000615579
29	1 67	1 78	1 73	1 79	0.009275720000000001
30	1 78	1 72	1 73	1 79	0.001943185
31	1 69	1 67	1 71	1 73	0.081563
32	1 67	1 65	1 71	1 73	0.0109363
33	1 65	1 80	1 71	1 73	0.003313855
34	1 80	1 78	1 71	1 73	0.001480085
35	1 78	1 76	1 71	1 73	0.0007759265000000001
36	1 76	1 74	1 71	1 73	0.0004709495
37	1 74	1 72	1 71	1 73	0.0002954795
38	1 67	1 80	1 71	1 75	0.01866595
39	1 80	1 76	1 71	1 75	0.0035188349999999997
40	1 76	1 72	1 71	1 75	0.001169605
41	1 72	1 68	1 71	1 75	0.0006095825
42	1 68	1 95	1 71	1 75	0.000346507
43	1 65	1 76	1 71	1 77	0.009918654999999998
44	1 76	1 70	1 71	1 77	0.0019600999999999998
45	1 70	1 95	1 71	1 77	0.0007781050000000001
46	1 95	1 89	1 71	1 77	0.00040851850000000003
47	1 80	1 72	1 71	1 79	0.0066234499999999995
48	1 72	1 95	1 71	1 79	0.0014152449999999999
49	1 87	1 96	1 71	1 79	0.0003251425
50	1 227	1 231	1 71	1 79	1.67496e-05
51	1 67	1 65	1 69	1 71	0.07483540000000001
52	1 65	1 80	1 69	1 71	0.01061965
53	1 80	1 78	1 69	1 71	0.003211625
54	1 78	1 76	1 69	1 71	0.001421925
55	1 76	1 74	1 69	1 71	0.0006917585
